lc_code,inst,faculty,dept
30100521,"Politeknik Negeri Bandung","Jurusan Teknik Elektro","D3 Teknik Telekomunikasi Jurusan Teknik Elektro"
30100523,"Politeknik Negeri Ujung Pandang","Jurusan Administrasi Niaga","D4 Administrasi Perkantoran Digital"
30100525,"Politeknik Negeri Media Kreatif","Jurusan Penerbitan","Program Studi D3 Penerbitan"
30100526,"Universitas Manado","Fakultas Ilmu Sosial dan Hukum","Prodi S2 Pendidikan Ilmu 1"
30100526,"Universitas Manado","Fakultas Ilmu Sosial dan Hukum","Prodi S2 Pendidikan Ilmu 2"
30100527,"Universitas Riau","Fakultas Daya Perikanan Jurusan Pemanfaatan Sumber Daya Perikanan","Prodi S1 Pemanfaatan Sumber 5"
30100534,"Universitas Sriwijaya","Fakultas Publik Jurusan Administrasi Publik Fakultas Ilmu Sosial dan Ilmu Politik","Program Studi S2 Magister Administrasi 1"
30100538,"Universitas Negeri Makassar","Fakultas Bahasa dan Sastra","Program Studi S1 Pendidikan Bahasa Arab Jurusan 3"
30100546,"Universitas Sriwijaya","Fakultas Fakultas Pertanian","Program Studi S1 Teknologi Hasil Pertanian Jurusan Teknologi Pertanian 5"
30100549,"Politeknik Negeri Banjarmasin","Jurusan Teknik Sipil dan Kebumian","D4 Teknologi Rekayasa Geomatika dan Survei"
30100554,"Politeknik Negeri Bengkalis","Jurusan Bahasa",NULL
30100555,"Politeknik Manufaktur Negeri Manufaktur","Jurusan Teknik Perancangan Manufaktur",NULL
30100556,"Politeknik Negeri Media Kreatif","Jurusan Penerbitan","Program Studi D3 Fotografi"
30100559,"Politeknik Negeri Malang","Bagian Perencanaan Keuangan dan Umum","Subbagian Umum"
30100561,"Universitas Tadulako","Fakultas Kesehatan Masyarakat","Prodi S1 Kesehatan Masyarakat Jurusan 1"
30100563,"Institut Seni Budaya Indonesia","Fakultas Budaya dan Media","Prodi D4 Televisi dan Film Jurusan 7"
30100564,"Politeknik Negeri Pontianak","Jurusan Administrasi Bisnis","D4 Pengelolaan Usaha Rekreasi"
30100572,"Universitas Tadulako","Fakultas Komunikasi","Prodi S2 Ilmu Komunikasi Jurusan Ilmu 4"
30100574,"Universitas Jambi","Fakultas dan Perikanan","Prodi D3 Kesehatan Hewan Fakultas Peternakan 2"
30100578,"Politeknik Negeri Tanah Laut","Jurusan Teknologi Industri Pertanian","D3 Agroindustri Jurusan Teknologi Industri Pertanian"
